,date_time,wind_speed,wind_dir
0,2020-07-01 01:00:00,15,235
1,2020-07-01 04:00:00,13,225
2,2020-07-01 07:00:00,15,240
3,2020-07-01 10:00:00,16,250
4,2020-07-01 13:00:00,13,220
5,2020-07-01 16:00:00,16,225
6,2020-07-01 19:00:00,21,255
7,2020-07-01 22:00:00,16,255
8,2020-07-02 01:00:00,12,240
9,2020-07-02 04:00:00,14,225
10,2020-07-02 07:00:00,9,230
11,2020-07-02 10:00:00,16,240
12,2020-07-02 13:00:00,13,225
13,2020-07-02 16:00:00,22,220
14,2020-07-02 19:00:00,18,210
15,2020-07-02 22:00:00,13,225
16,2020-07-03 01:00:00,11,235
17,2020-07-03 04:00:00,13,230
18,2020-07-03 07:00:00,12,220
19,2020-07-03 10:00:00,16,235
20,2020-07-03 13:00:00,11,215
21,2020-07-03 16:00:00,12,220
22,2020-07-03 19:00:00,28,240
23,2020-07-03 22:00:00,26,245
24,2020-07-04 01:00:00,11,255
25,2020-07-04 04:00:00,10,245
26,2020-07-04 07:00:00,5,210
27,2020-07-04 10:00:00,10,230
28,2020-07-04 13:00:00,13,250
29,2020-07-04 16:00:00,17,295
30,2020-07-04 19:00:00,5,265
31,2020-07-04 22:00:00,7,250
32,2020-07-05 01:00:00,7,250
33,2020-07-05 04:00:00,8,220
34,2020-07-05 07:00:00,8,190
35,2020-07-05 10:00:00,15,260
36,2020-07-05 13:00:00,9,220
37,2020-07-05 16:00:00,9,250
38,2020-07-05 19:00:00,10,220
39,2020-07-05 22:00:00,11,235
40,2020-07-06 01:00:00,12,265
41,2020-07-06 04:00:00,12,285
42,2020-07-06 07:00:00,9,270
43,2020-07-06 10:00:00,7,295
44,2020-07-06 13:00:00,4,225
45,2020-07-06 16:00:00,8,190
46,2020-07-06 19:00:00,11,185
47,2020-07-06 22:00:00,18,195
48,2020-07-07 01:00:00,8,200
49,2020-07-07 04:00:00,2,270
50,2020-07-07 07:00:00,5,290
51,2020-07-07 10:00:00,4,250
52,2020-07-07 13:00:00,7,180
53,2020-07-07 16:00:00,15,150
54,2020-07-07 19:00:00,21,165
55,2020-07-07 22:00:00,19,165
56,2020-07-08 01:00:00,14,175
57,2020-07-08 04:00:00,13,155
58,2020-07-08 07:00:00,13,155
59,2020-07-08 10:00:00,13,175
60,2020-07-08 13:00:00,12,180
61,2020-07-08 16:00:00,16,180
62,2020-07-08 19:00:00,15,175
63,2020-07-08 22:00:00,15,175
64,2020-07-09 01:00:00,15,185
65,2020-07-09 04:00:00,14,185
66,2020-07-09 07:00:00,9,225
67,2020-07-09 10:00:00,8,235
68,2020-07-09 13:00:00,10,215
69,2020-07-09 16:00:00,10,205
70,2020-07-09 19:00:00,11,165
71,2020-07-09 22:00:00,22,180
72,2020-07-10 01:00:00,12,185
73,2020-07-10 04:00:00,6,250
74,2020-07-10 07:00:00,5,265
75,2020-07-10 10:00:00,9,270
76,2020-07-10 13:00:00,11,245
77,2020-07-10 16:00:00,13,205
78,2020-07-10 19:00:00,13,205
79,2020-07-10 22:00:00,13,205
80,2020-07-11 01:00:00,13,205
81,2020-07-11 04:00:00,13,205
82,2020-07-11 07:00:00,11,275
83,2020-07-11 10:00:00,11,285
84,2020-07-11 13:00:00,9,230
85,2020-07-11 16:00:00,9,215
86,2020-07-11 19:00:00,9,215
87,2020-07-11 22:00:00,16,185
88,2020-07-12 01:00:00,12,185
89,2020-07-12 04:00:00,10,195
90,2020-07-12 07:00:00,7,270
91,2020-07-12 10:00:00,6,275
92,2020-07-12 13:00:00,6,235
93,2020-07-12 16:00:00,7,175
94,2020-07-12 19:00:00,12,160
95,2020-07-12 22:00:00,14,165
96,2020-07-13 01:00:00,13,195
97,2020-07-13 04:00:00,9,230
98,2020-07-13 07:00:00,3,285
99,2020-07-13 10:00:00,7,230
100,2020-07-13 13:00:00,4,225
101,2020-07-13 16:00:00,12,200
102,2020-07-13 19:00:00,14,200
103,2020-07-13 22:00:00,8,225
104,2020-07-14 01:00:00,9,280
105,2020-07-14 04:00:00,4,185
106,2020-07-14 07:00:00,14,190
107,2020-07-14 10:00:00,9,155
108,2020-07-14 13:00:00,5,285
109,2020-07-14 16:00:00,5,125
110,2020-07-14 19:00:00,5,125
111,2020-07-14 22:00:00,5,125
112,2020-07-15 01:00:00,4,240
113,2020-07-15 04:00:00,4,80
114,2020-07-15 07:00:00,1,60
115,2020-07-15 10:00:00,5,240
116,2020-07-15 13:00:00,10,225
117,2020-07-15 16:00:00,14,230
118,2020-07-15 19:00:00,4,195
119,2020-07-15 22:00:00,11,240
120,2020-07-16 01:00:00,7,230
121,2020-07-16 04:00:00,10,230
122,2020-07-16 07:00:00,6,235
123,2020-07-16 10:00:00,10,245
124,2020-07-16 13:00:00,9,195
125,2020-07-16 16:00:00,13,200
126,2020-07-16 19:00:00,17,250
