,date_time,wind_speed,wind_dir
0,2020-07-01 01:00:00,4,220
1,2020-07-01 04:00:00,3,205
2,2020-07-01 07:00:00,4,220
3,2020-07-01 10:00:00,4,210
4,2020-07-01 13:00:00,8,215
5,2020-07-01 16:00:00,8,240
6,2020-07-01 19:00:00,8,235
7,2020-07-01 22:00:00,6,230
8,2020-07-02 01:00:00,3,215
9,2020-07-02 04:00:00,1,200
10,2020-07-02 07:00:00,1,170
11,2020-07-02 10:00:00,2,165
12,2020-07-02 13:00:00,5,230
13,2020-07-02 16:00:00,5,225
14,2020-07-02 19:00:00,2,235
15,2020-07-02 22:00:00,2,215
16,2020-07-03 01:00:00,3,205
17,2020-07-03 04:00:00,2,220
18,2020-07-03 07:00:00,2,205
19,2020-07-03 10:00:00,3,190
20,2020-07-03 13:00:00,6,195
21,2020-07-03 16:00:00,7,235
22,2020-07-03 19:00:00,6,200
23,2020-07-03 22:00:00,2,230
24,2020-07-04 01:00:00,2,285
25,2020-07-04 04:00:00,3,195
26,2020-07-04 07:00:00,1,105
27,2020-07-04 10:00:00,4,180
28,2020-07-04 13:00:00,4,155
29,2020-07-04 16:00:00,7,145
30,2020-07-04 19:00:00,5,175
31,2020-07-04 22:00:00,3,175
32,2020-07-05 01:00:00,2,195
33,2020-07-05 04:00:00,1,255
34,2020-07-05 07:00:00,3,185
35,2020-07-05 10:00:00,3,160
36,2020-07-05 13:00:00,4,270
37,2020-07-05 16:00:00,5,220
38,2020-07-05 19:00:00,5,175
39,2020-07-05 22:00:00,4,225
40,2020-07-06 01:00:00,4,250
41,2020-07-06 04:00:00,1,250
42,2020-07-06 07:00:00,1,105
43,2020-07-06 10:00:00,2,210
44,2020-07-06 13:00:00,3,195
45,2020-07-06 16:00:00,5,195
46,2020-07-06 19:00:00,2,210
47,2020-07-06 22:00:00,1,230
48,2020-07-07 01:00:00,2,290
49,2020-07-07 04:00:00,1,260
50,2020-07-07 07:00:00,1,40
51,2020-07-07 10:00:00,4,190
52,2020-07-07 13:00:00,5,155
53,2020-07-07 16:00:00,4,115
54,2020-07-07 19:00:00,1,195
55,2020-07-07 22:00:00,2,160
56,2020-07-08 01:00:00,1,260
57,2020-07-08 04:00:00,0,295
58,2020-07-08 07:00:00,2,5
59,2020-07-08 10:00:00,4,180
60,2020-07-08 13:00:00,6,160
61,2020-07-08 16:00:00,5,180
62,2020-07-08 19:00:00,2,145
63,2020-07-08 22:00:00,2,155
64,2020-07-09 01:00:00,2,210
65,2020-07-09 04:00:00,2,225
66,2020-07-09 07:00:00,1,205
67,2020-07-09 10:00:00,3,195
68,2020-07-09 13:00:00,6,230
69,2020-07-09 16:00:00,8,185
70,2020-07-09 19:00:00,5,210
71,2020-07-09 22:00:00,4,225
72,2020-07-10 01:00:00,2,235
73,2020-07-10 04:00:00,2,205
74,2020-07-10 07:00:00,3,185
75,2020-07-10 10:00:00,4,210
76,2020-07-10 13:00:00,6,210
77,2020-07-10 16:00:00,7,200
78,2020-07-10 19:00:00,3,240
79,2020-07-10 22:00:00,4,225
80,2020-07-11 01:00:00,4,205
81,2020-07-11 04:00:00,3,195
82,2020-07-11 07:00:00,4,175
83,2020-07-11 10:00:00,3,210
84,2020-07-11 13:00:00,2,180
85,2020-07-11 16:00:00,8,150
86,2020-07-11 19:00:00,2,185
87,2020-07-11 22:00:00,1,180
88,2020-07-12 01:00:00,3,200
89,2020-07-12 04:00:00,1,155
90,2020-07-12 07:00:00,2,225
91,2020-07-12 10:00:00,3,155
92,2020-07-12 13:00:00,1,165
93,2020-07-12 16:00:00,5,160
94,2020-07-12 19:00:00,2,265
95,2020-07-12 22:00:00,1,60
96,2020-07-13 01:00:00,5,165
97,2020-07-13 04:00:00,5,140
98,2020-07-13 07:00:00,4,185
99,2020-07-13 10:00:00,2,145
100,2020-07-13 13:00:00,3,205
101,2020-07-13 16:00:00,3,160
102,2020-07-13 19:00:00,1,145
103,2020-07-13 22:00:00,1,220
104,2020-07-14 01:00:00,0,235
105,2020-07-14 04:00:00,1,275
106,2020-07-14 07:00:00,1,105
107,2020-07-14 10:00:00,1,105
108,2020-07-14 13:00:00,7,180
109,2020-07-14 16:00:00,7,175
110,2020-07-14 19:00:00,4,190
111,2020-07-14 22:00:00,2,165
112,2020-07-15 01:00:00,3,240
113,2020-07-15 04:00:00,2,295
114,2020-07-15 07:00:00,2,280
115,2020-07-15 10:00:00,2,175
116,2020-07-15 13:00:00,3,190
117,2020-07-15 16:00:00,4,155
118,2020-07-15 19:00:00,3,190
119,2020-07-15 22:00:00,2,165
120,2020-07-16 01:00:00,2,220
121,2020-07-16 04:00:00,2,210
122,2020-07-16 07:00:00,2,55
123,2020-07-16 10:00:00,2,250
124,2020-07-16 13:00:00,4,180
125,2020-07-16 16:00:00,6,175
126,2020-07-16 19:00:00,5,150
127,2020-07-16 22:00:00,3,150
128,2020-07-17 01:00:00,2,225
129,2020-07-17 04:00:00,2,245
130,2020-07-17 07:00:00,5,215
131,2020-07-17 10:00:00,2,160
132,2020-07-17 13:00:00,5,165
133,2020-07-17 16:00:00,8,155
