,date_time,wind_speed,wind_dir
0,2020-07-01 01:00:00,21,205
1,2020-07-01 04:00:00,18,210
2,2020-07-01 07:00:00,19,225
3,2020-07-01 10:00:00,21,230
4,2020-07-01 13:00:00,13,235
5,2020-07-01 16:00:00,11,230
6,2020-07-01 19:00:00,9,225
7,2020-07-01 22:00:00,17,185
8,2020-07-02 01:00:00,18,210
9,2020-07-02 04:00:00,16,240
10,2020-07-02 07:00:00,10,225
11,2020-07-02 10:00:00,16,215
12,2020-07-02 13:00:00,14,215
13,2020-07-02 16:00:00,11,220
14,2020-07-02 19:00:00,9,205
15,2020-07-02 22:00:00,14,200
16,2020-07-03 01:00:00,15,210
17,2020-07-03 04:00:00,12,200
18,2020-07-03 07:00:00,6,195
19,2020-07-03 10:00:00,14,200
20,2020-07-03 13:00:00,13,220
21,2020-07-03 16:00:00,6,260
22,2020-07-03 19:00:00,1,5
23,2020-07-03 22:00:00,11,195
24,2020-07-04 01:00:00,16,210
25,2020-07-04 04:00:00,17,205
26,2020-07-04 07:00:00,14,225
27,2020-07-04 10:00:00,13,205
28,2020-07-04 13:00:00,10,245
29,2020-07-04 16:00:00,9,220
30,2020-07-04 19:00:00,10,210
31,2020-07-04 22:00:00,11,210
32,2020-07-05 01:00:00,9,215
33,2020-07-05 04:00:00,9,200
34,2020-07-05 07:00:00,11,225
35,2020-07-05 10:00:00,8,265
36,2020-07-05 13:00:00,3,290
37,2020-07-05 16:00:00,3,350
38,2020-07-05 19:00:00,0,180
39,2020-07-05 22:00:00,6,225
40,2020-07-06 01:00:00,7,240
41,2020-07-06 04:00:00,9,220
42,2020-07-06 07:00:00,9,245
43,2020-07-06 10:00:00,6,295
44,2020-07-06 13:00:00,1,115
45,2020-07-06 16:00:00,7,175
46,2020-07-06 19:00:00,5,155
47,2020-07-06 22:00:00,10,160
48,2020-07-07 01:00:00,7,190
49,2020-07-07 04:00:00,10,195
50,2020-07-07 07:00:00,11,180
51,2020-07-07 10:00:00,14,175
52,2020-07-07 13:00:00,14,170
53,2020-07-07 16:00:00,12,165
54,2020-07-07 19:00:00,10,155
55,2020-07-07 22:00:00,11,170
56,2020-07-08 01:00:00,8,175
57,2020-07-08 04:00:00,7,200
58,2020-07-08 07:00:00,10,180
59,2020-07-08 10:00:00,13,205
60,2020-07-08 13:00:00,13,210
61,2020-07-08 16:00:00,10,210
62,2020-07-08 19:00:00,8,180
63,2020-07-08 22:00:00,11,205
64,2020-07-09 01:00:00,14,185
65,2020-07-09 04:00:00,11,220
66,2020-07-09 07:00:00,11,200
67,2020-07-09 10:00:00,12,230
68,2020-07-09 13:00:00,13,220
69,2020-07-09 16:00:00,16,225
70,2020-07-09 19:00:00,11,200
71,2020-07-09 22:00:00,10,220
72,2020-07-10 01:00:00,10,200
73,2020-07-10 04:00:00,9,220
74,2020-07-10 07:00:00,13,205
75,2020-07-10 10:00:00,16,220
76,2020-07-10 13:00:00,13,225
77,2020-07-10 16:00:00,14,230
78,2020-07-10 19:00:00,12,225
79,2020-07-10 22:00:00,14,235
80,2020-07-11 01:00:00,8,195
81,2020-07-11 04:00:00,10,215
82,2020-07-11 07:00:00,13,220
83,2020-07-11 10:00:00,12,230
84,2020-07-11 13:00:00,12,215
85,2020-07-11 16:00:00,14,215
86,2020-07-11 19:00:00,10,215
87,2020-07-11 22:00:00,10,225
88,2020-07-12 01:00:00,10,185
89,2020-07-12 04:00:00,10,210
90,2020-07-12 07:00:00,11,210
91,2020-07-12 10:00:00,14,220
92,2020-07-12 13:00:00,12,225
93,2020-07-12 16:00:00,8,245
94,2020-07-12 19:00:00,6,295
95,2020-07-12 22:00:00,7,345
96,2020-07-13 01:00:00,2,285
97,2020-07-13 04:00:00,1,260
98,2020-07-13 07:00:00,16,200
99,2020-07-13 10:00:00,16,205
100,2020-07-13 13:00:00,15,205
101,2020-07-13 16:00:00,7,185
102,2020-07-13 19:00:00,8,165
103,2020-07-13 22:00:00,6,170
104,2020-07-14 01:00:00,9,205
105,2020-07-14 04:00:00,10,205
106,2020-07-14 07:00:00,12,220
107,2020-07-14 10:00:00,12,240
108,2020-07-14 13:00:00,9,220
109,2020-07-14 16:00:00,1,200
110,2020-07-14 19:00:00,7,80
111,2020-07-14 22:00:00,11,70
112,2020-07-15 01:00:00,6,145
113,2020-07-15 04:00:00,5,205
114,2020-07-15 07:00:00,8,205
115,2020-07-15 10:00:00,7,240
116,2020-07-15 13:00:00,6,205
117,2020-07-15 16:00:00,6,165
118,2020-07-15 19:00:00,10,190
119,2020-07-15 22:00:00,10,235
120,2020-07-16 01:00:00,8,220
121,2020-07-16 04:00:00,7,185
122,2020-07-16 07:00:00,11,210
123,2020-07-16 10:00:00,11,205
124,2020-07-16 13:00:00,11,165
125,2020-07-16 16:00:00,10,155
126,2020-07-16 19:00:00,5,135
127,2020-07-16 22:00:00,12,170
128,2020-07-17 01:00:00,10,170
129,2020-07-17 04:00:00,8,180
130,2020-07-17 07:00:00,6,205
131,2020-07-17 10:00:00,11,185
132,2020-07-17 13:00:00,12,175
133,2020-07-17 16:00:00,13,185
134,2020-07-17 19:00:00,9,195
135,2020-07-17 22:00:00,9,180
136,2020-07-18 01:00:00,7,200
137,2020-07-18 04:00:00,8,225
138,2020-07-18 07:00:00,6,210
139,2020-07-18 10:00:00,9,210
140,2020-07-18 13:00:00,12,200
141,2020-07-18 16:00:00,14,235
142,2020-07-18 19:00:00,5,215
143,2020-07-18 22:00:00,8,250
144,2020-07-19 01:00:00,11,210
145,2020-07-19 04:00:00,10,215
146,2020-07-19 07:00:00,12,215
147,2020-07-19 10:00:00,13,235
148,2020-07-19 13:00:00,8,215
149,2020-07-19 16:00:00,9,205
150,2020-07-19 19:00:00,7,210
151,2020-07-19 22:00:00,5,245
152,2020-07-20 01:00:00,10,175
153,2020-07-20 04:00:00,6,225
154,2020-07-20 07:00:00,5,165
155,2020-07-20 10:00:00,8,180
156,2020-07-20 13:00:00,9,200
157,2020-07-20 16:00:00,5,240
158,2020-07-20 19:00:00,5,155
159,2020-07-20 22:00:00,7,160
160,2020-07-21 01:00:00,9,195
161,2020-07-21 04:00:00,7,195
162,2020-07-21 07:00:00,5,160
163,2020-07-21 10:00:00,6,170
164,2020-07-21 13:00:00,6,140
165,2020-07-21 16:00:00,5,140
166,2020-07-21 19:00:00,8,175
167,2020-07-21 22:00:00,9,200
168,2020-07-22 01:00:00,9,235
169,2020-07-22 04:00:00,7,240
170,2020-07-22 07:00:00,3,260
171,2020-07-22 10:00:00,6,195
172,2020-07-22 13:00:00,11,195
173,2020-07-22 16:00:00,12,180
174,2020-07-22 19:00:00,7,140
175,2020-07-22 22:00:00,13,140
176,2020-07-23 01:00:00,11,170
177,2020-07-23 04:00:00,11,170
178,2020-07-23 07:00:00,8,190
179,2020-07-23 10:00:00,9,195
180,2020-07-23 13:00:00,7,165
181,2020-07-23 16:00:00,4,160
182,2020-07-23 19:00:00,5,130
183,2020-07-23 22:00:00,2,125
184,2020-07-24 01:00:00,4,160
185,2020-07-24 04:00:00,3,140
186,2020-07-24 07:00:00,6,215
187,2020-07-24 10:00:00,6,195
188,2020-07-24 13:00:00,4,180
189,2020-07-24 16:00:00,4,140
190,2020-07-24 19:00:00,7,165
191,2020-07-24 22:00:00,11,170
192,2020-07-25 01:00:00,5,195
193,2020-07-25 04:00:00,9,195
194,2020-07-25 07:00:00,4,200
195,2020-07-25 10:00:00,6,160
