,date_time,wind_speed,wind_dir
0,2020-07-01 01:00:00,11,175
1,2020-07-01 04:00:00,12,185
2,2020-07-01 07:00:00,11,190
3,2020-07-01 10:00:00,16,225
4,2020-07-01 13:00:00,17,225
5,2020-07-01 16:00:00,19,225
6,2020-07-01 19:00:00,12,200
7,2020-07-01 22:00:00,9,215
8,2020-07-02 01:00:00,8,185
9,2020-07-02 04:00:00,8,180
10,2020-07-02 07:00:00,8,180
11,2020-07-02 10:00:00,16,215
12,2020-07-02 13:00:00,12,225
13,2020-07-02 16:00:00,15,205
14,2020-07-02 19:00:00,14,185
15,2020-07-02 22:00:00,15,170
16,2020-07-03 01:00:00,10,155
17,2020-07-03 04:00:00,11,180
18,2020-07-03 07:00:00,11,170
19,2020-07-03 10:00:00,15,205
20,2020-07-03 13:00:00,15,210
21,2020-07-03 16:00:00,20,210
22,2020-07-03 19:00:00,17,205
23,2020-07-03 22:00:00,17,205
24,2020-07-04 01:00:00,8,175
25,2020-07-04 04:00:00,5,155
26,2020-07-04 07:00:00,5,165
27,2020-07-04 10:00:00,2,175
28,2020-07-04 13:00:00,7,190
29,2020-07-04 16:00:00,10,195
30,2020-07-04 19:00:00,9,160
31,2020-07-04 22:00:00,11,170
32,2020-07-05 01:00:00,8,180
33,2020-07-05 04:00:00,8,180
34,2020-07-05 07:00:00,7,175
35,2020-07-05 10:00:00,15,235
36,2020-07-05 13:00:00,14,255
37,2020-07-05 16:00:00,11,215
38,2020-07-05 19:00:00,5,165
39,2020-07-05 22:00:00,9,200
40,2020-07-06 01:00:00,7,190
41,2020-07-06 04:00:00,2,165
42,2020-07-06 07:00:00,5,170
43,2020-07-06 10:00:00,6,225
44,2020-07-06 13:00:00,3,315
45,2020-07-06 16:00:00,3,170
46,2020-07-06 19:00:00,4,135
47,2020-07-06 22:00:00,6,150
48,2020-07-07 01:00:00,11,180
49,2020-07-07 04:00:00,9,160
50,2020-07-07 07:00:00,8,170
51,2020-07-07 10:00:00,12,200
52,2020-07-07 13:00:00,10,170
53,2020-07-07 16:00:00,13,160
54,2020-07-07 19:00:00,13,145
55,2020-07-07 22:00:00,11,150
56,2020-07-08 01:00:00,7,145
57,2020-07-08 04:00:00,9,145
58,2020-07-08 07:00:00,8,135
59,2020-07-08 10:00:00,14,170
