,date_time,wind_speed,wind_dir
0,2020-07-01 01:00:00,3,225
1,2020-07-01 04:00:00,6,215
2,2020-07-01 07:00:00,7,250
3,2020-07-01 10:00:00,10,235
4,2020-07-01 13:00:00,10,235
5,2020-07-01 16:00:00,9,230
6,2020-07-01 19:00:00,4,270
7,2020-07-01 22:00:00,5,230
8,2020-07-02 01:00:00,6,215
9,2020-07-02 04:00:00,8,225
10,2020-07-02 07:00:00,8,235
11,2020-07-02 10:00:00,13,220
12,2020-07-02 13:00:00,10,230
13,2020-07-02 16:00:00,15,245
14,2020-07-02 19:00:00,8,240
15,2020-07-02 22:00:00,9,205
16,2020-07-03 01:00:00,8,215
17,2020-07-03 04:00:00,9,220
18,2020-07-03 07:00:00,9,220
19,2020-07-03 10:00:00,12,215
20,2020-07-03 13:00:00,10,235
21,2020-07-03 16:00:00,8,265
22,2020-07-03 19:00:00,4,270
23,2020-07-03 22:00:00,3,255
24,2020-07-04 01:00:00,3,215
25,2020-07-04 04:00:00,4,250
26,2020-07-04 07:00:00,5,215
27,2020-07-04 10:00:00,6,225
28,2020-07-04 13:00:00,6,250
29,2020-07-04 16:00:00,6,90
30,2020-07-04 19:00:00,3,195
31,2020-07-04 22:00:00,4,185
32,2020-07-05 01:00:00,3,185
33,2020-07-05 04:00:00,4,190
34,2020-07-05 07:00:00,4,225
35,2020-07-05 10:00:00,5,235
36,2020-07-05 13:00:00,2,250
37,2020-07-05 16:00:00,4,75
38,2020-07-05 19:00:00,2,165
39,2020-07-05 22:00:00,2,205
40,2020-07-06 01:00:00,3,215
41,2020-07-06 04:00:00,4,230
42,2020-07-06 07:00:00,4,245
43,2020-07-06 10:00:00,7,235
44,2020-07-06 13:00:00,4,220
45,2020-07-06 16:00:00,2,225
46,2020-07-06 19:00:00,3,220
47,2020-07-06 22:00:00,4,230
48,2020-07-07 01:00:00,5,215
49,2020-07-07 04:00:00,6,210
50,2020-07-07 07:00:00,3,255
51,2020-07-07 10:00:00,6,230
52,2020-07-07 13:00:00,5,275
53,2020-07-07 16:00:00,9,270
54,2020-07-07 19:00:00,7,235
55,2020-07-07 22:00:00,5,235
56,2020-07-08 01:00:00,6,230
57,2020-07-08 04:00:00,6,215
58,2020-07-08 07:00:00,5,240
59,2020-07-08 10:00:00,6,245
60,2020-07-08 13:00:00,4,250
61,2020-07-08 16:00:00,2,5
62,2020-07-08 19:00:00,4,290
63,2020-07-08 22:00:00,4,255
64,2020-07-09 01:00:00,4,270
65,2020-07-09 04:00:00,5,225
66,2020-07-09 07:00:00,7,225
67,2020-07-09 10:00:00,9,240
68,2020-07-09 13:00:00,6,240
69,2020-07-09 16:00:00,4,260
70,2020-07-09 19:00:00,3,235
71,2020-07-09 22:00:00,6,200
72,2020-07-10 01:00:00,6,215
73,2020-07-10 04:00:00,7,235
74,2020-07-10 07:00:00,6,230
75,2020-07-10 10:00:00,8,220
76,2020-07-10 13:00:00,8,250
77,2020-07-10 16:00:00,7,275
78,2020-07-10 19:00:00,7,215
79,2020-07-10 22:00:00,7,235
80,2020-07-11 01:00:00,5,250
81,2020-07-11 04:00:00,7,230
82,2020-07-11 07:00:00,4,250
83,2020-07-11 10:00:00,8,240
84,2020-07-11 13:00:00,6,245
85,2020-07-11 16:00:00,8,225
86,2020-07-11 19:00:00,6,250
87,2020-07-11 22:00:00,5,240
88,2020-07-12 01:00:00,2,275
89,2020-07-12 04:00:00,5,205
90,2020-07-12 07:00:00,8,220
91,2020-07-12 10:00:00,11,220
92,2020-07-12 13:00:00,12,245
93,2020-07-12 16:00:00,16,255
94,2020-07-12 19:00:00,7,245
95,2020-07-12 22:00:00,9,210
96,2020-07-13 01:00:00,4,225
97,2020-07-13 04:00:00,7,235
98,2020-07-13 07:00:00,5,215
